ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
NEM,Newmont Corporation,75.8,🌟 A급 (적극 매수),80,70,70,80,75,83,101.22,8.2,1
MRK,"Merck & Co., Inc.",74.4,🌟 A급 (적극 매수),80,70,68,80,75,73,106.45,3.4,2
CCL,Carnival Corporation & plc,74.1,🌟 A급 (적극 매수),80,60,73,75,80,83,30.92,19.1,3
STT,State Street Corporation,74.0,🌟 A급 (적극 매수),80,70,70,75,75,73,129.07,2.0,4
HAL,Halliburton Company,73.5,🌟 A급 (적극 매수),75,65,90,55,75,80,29.6,5.4,5
DG,Dollar General Corporation,73.5,🌟 A급 (적극 매수),80,65,70,70,70,90,136.82,-3.0,6
SCHW,The Charles Schwab Corporation,73.4,🌟 A급 (적극 매수),70,70,73,80,80,73,101.57,11.0,7
EIX,Edison International,72.9,🌟 A급 (적극 매수),70,70,73,80,75,73,60.93,8.8,8
HII,"Huntington Ingalls Industries, Inc.",72.8,🌟 A급 (적극 매수),80,65,73,75,50,90,349.75,-1.6,9
C,Citigroup Inc.,72.5,🌟 A급 (적극 매수),80,70,60,70,70,90,118.7,-0.1,10
MU,"Micron Technology, Inc.",72.1,🌟 A급 (적극 매수),65,70,73,75,70,90,315.42,-3.2,11
HIG,"The Hartford Insurance Group, Inc.",72.0,🌟 A급 (적극 매수),75,70,70,80,75,58,137.11,4.7,12
AIZ,"Assurant, Inc.",71.6,🌟 A급 (적극 매수),80,70,68,75,55,73,237.72,7.5,13
AVY,Avery Dennison Corporation,71.6,🌟 A급 (적극 매수),75,65,70,75,80,66,182.44,11.2,14
FDX,FedEx Corporation,71.5,🌟 A급 (적극 매수),75,70,60,75,75,80,293.13,2.4,15
USB,U.S. Bancorp,71.5,🌟 A급 (적극 매수),70,70,70,75,75,73,53.93,7.0,16
OMC,Omnicom Group Inc.,71.3,🌟 A급 (적극 매수),75,60,73,80,65,75,81.32,23.2,17
NDAQ,"Nasdaq, Inc.",71.2,🌟 A급 (적극 매수),75,70,73,60,75,73,96.66,7.6,18
MOH,"Molina Healthcare, Inc.",71.1,🌟 A급 (적극 매수),80,65,68,80,50,75,178.46,-1.0,19
FCX,Freeport-McMoRan Inc.,71.1,🌟 A급 (적극 매수),70,70,73,60,70,90,51.93,-2.7,20
UAL,"United Airlines Holdings, Inc.",71.0,🌟 A급 (적극 매수),75,65,70,80,60,73,113.01,10.8,21
PNC,"The PNC Financial Services Group, Inc.",71.0,🌟 A급 (적극 매수),65,70,70,80,75,73,211.46,7.1,22
