ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
A,92.31,0.32,1.33,282.53,10,0,0,Neutral,70,Strong Institutional Support
AAL,70.47,1.48,7.91,650.62,10,0,0,Neutral,60,Institutional Support
AAPL,64.37,1.69,0.83,14750.64,10,0,0,Neutral,65,Institutional Support
ABBV,75.21,0.1,1.02,1763.94,10,0,0,Neutral,65,Institutional Support
ABNB,85.21,1.5,4.07,409.58,10,0,0,Neutral,65,Institutional Support
ABT,81.38,0.54,0.92,1728.6,10,0,0,Neutral,70,Strong Institutional Support
ACGL,93.72,3.19,2.02,350.12,10,0,0,Neutral,70,Strong Institutional Support
ACN,82.79,0.07,2.12,614.24,10,0,0,Neutral,70,Strong Institutional Support
ADBE,85.96,0.21,2.77,415.82,10,0,0,Neutral,70,Strong Institutional Support
ADI,93.82,0.25,2.25,487.89,10,0,0,Neutral,70,Strong Institutional Support
ADM,86.85,0.61,3.87,474.79,10,0,0,Neutral,65,Institutional Support
ADP,86.88,0.15,2.1,403.55,10,0,0,Neutral,70,Strong Institutional Support
ADSK,95.74,0.21,1.76,211.48,10,0,0,Neutral,70,Strong Institutional Support
AEE,87.15,0.3,3.85,269.21,10,0,0,Neutral,65,Institutional Support
AEP,86.62,0.25,4.24,534.47,10,0,0,Neutral,65,Institutional Support
AES,90.16,0.46,3.54,708.06,10,0,0,Neutral,65,Institutional Support
AFL,58.93,10.72,1.24,519.94,10,0,0,Neutral,55,Institutional Support
AIG,101.07,0.25,3.52,538.01,10,0,0,Neutral,65,Institutional Support
AIZ,96.67,0.62,2.06,49.79,10,0,0,Neutral,70,Strong Institutional Support
AJG,92.09,0.92,1.71,253.9,10,0,0,Neutral,70,Strong Institutional Support
AKAM,100.29,1.96,11.13,140.66,10,0,0,Neutral,55,Institutional Support
ALB,95.54,0.36,12.51,117.3,10,0,0,Neutral,55,Institutional Support
ALGN,97.78,6.76,5.31,67.22,10,0,0,Neutral,65,Institutional Support
ALL,81.02,0.55,1.68,260.14,10,0,0,Neutral,70,Strong Institutional Support
ALLE,98.6,1.12,4.13,84.83,10,0,0,Neutral,65,Institutional Support
AMAT,85.24,0.28,2.24,789.38,10,0,0,Neutral,70,Strong Institutional Support
AMCR,68.2,0.23,4.56,2293.97,10,0,0,Unknown,60,Institutional Support
AMD,69.72,0.44,2.22,1619.05,10,0,0,Neutral,65,Institutional Support
AME,90.3,0.34,1.32,228.98,10,0,0,Neutral,70,Strong Institutional Support
AMGN,83.84,0.21,2.63,537.13,10,0,0,Neutral,70,Strong Institutional Support
AMP,89.04,0.19,3.82,92.54,10,0,0,Neutral,65,Institutional Support
AMT,95.43,0.16,1.49,466.79,10,0,0,Neutral,70,Strong Institutional Support
AMZN,66.75,9.18,0.79,9702.01,10,0,0,Neutral,65,Institutional Support
ANET,70.02,17.94,1.45,1041.48,10,0,0,Neutral,65,Institutional Support
ANSS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
AON,87.8,3.04,0.89,208.06,10,0,0,Neutral,70,Strong Institutional Support
AOS,99.08,0.73,4.37,112.21,10,0,0,Neutral,65,Institutional Support
APA,99.19,0.43,10.36,352.51,10,0,0,Neutral,55,Institutional Support
APD,94.93,1.92,2.66,222.28,10,0,0,Neutral,70,Strong Institutional Support
APH,97.89,0.54,1.11,1216.26,10,0,0,Neutral,70,Strong Institutional Support
APTV,101.48,0.46,3.47,214.04,10,0,0,Neutral,65,Institutional Support
ARE,98.11,0.94,5.45,154.27,10,0,0,Neutral,65,Institutional Support
ATO,102.12,0.39,3.78,161.05,10,0,0,Neutral,65,Institutional Support
AVB,96.57,0.36,5.35,133.03,10,0,0,Neutral,65,Institutional Support
AVGO,79.26,2.0,1.67,405.86,10,0,0,Neutral,65,Institutional Support
AVY,96.5,0.82,3.23,76.61,10,0,0,Neutral,65,Institutional Support
AWK,98.88,0.12,5.78,194.72,10,0,0,Neutral,65,Institutional Support
AXON,85.16,4.33,3.12,75.14,10,0,0,Neutral,65,Institutional Support
AXP,65.08,22.14,1.82,535.91,10,0,0,Neutral,65,Institutional Support
AZO,94.86,0.24,2.15,16.52,10,0,0,Neutral,70,Strong Institutional Support
BA,71.93,0.07,2.07,728.29,10,0,0,Neutral,65,Institutional Support
BAC,70.04,7.88,1.58,7276.5,10,0,0,Neutral,65,Institutional Support
BALL,89.55,0.31,2.83,266.93,10,0,0,Neutral,70,Strong Institutional Support
