ticker,name,sector,industry,market
A,A,N/A,N/A,S&P500
AAL,AAL,N/A,N/A,S&P500
AAPL,AAPL,N/A,N/A,S&P500
ABBV,ABBV,N/A,N/A,S&P500
ABNB,ABNB,N/A,N/A,S&P500
ABT,ABT,N/A,N/A,S&P500
ACGL,ACGL,N/A,N/A,S&P500
ACN,ACN,N/A,N/A,S&P500
ADBE,ADBE,N/A,N/A,S&P500
ADI,ADI,N/A,N/A,S&P500
ADM,ADM,N/A,N/A,S&P500
ADP,ADP,N/A,N/A,S&P500
ADSK,ADSK,N/A,N/A,S&P500
AEE,AEE,N/A,N/A,S&P500
AEP,AEP,N/A,N/A,S&P500
AES,AES,N/A,N/A,S&P500
AFL,AFL,N/A,N/A,S&P500
AIG,AIG,N/A,N/A,S&P500
AIZ,AIZ,N/A,N/A,S&P500
AJG,AJG,N/A,N/A,S&P500
AKAM,AKAM,N/A,N/A,S&P500
ALB,ALB,N/A,N/A,S&P500
ALGN,ALGN,N/A,N/A,S&P500
ALL,ALL,N/A,N/A,S&P500
ALLE,ALLE,N/A,N/A,S&P500
AMAT,AMAT,N/A,N/A,S&P500
AMCR,AMCR,N/A,N/A,S&P500
AMD,AMD,N/A,N/A,S&P500
AME,AME,N/A,N/A,S&P500
AMGN,AMGN,N/A,N/A,S&P500
AMP,AMP,N/A,N/A,S&P500
AMT,AMT,N/A,N/A,S&P500
AMZN,AMZN,N/A,N/A,S&P500
ANET,ANET,N/A,N/A,S&P500
ANSS,ANSS,N/A,N/A,S&P500
AON,AON,N/A,N/A,S&P500
AOS,AOS,N/A,N/A,S&P500
APA,APA,N/A,N/A,S&P500
APD,APD,N/A,N/A,S&P500
APH,APH,N/A,N/A,S&P500
APTV,APTV,N/A,N/A,S&P500
ARE,ARE,N/A,N/A,S&P500
ATO,ATO,N/A,N/A,S&P500
AVB,AVB,N/A,N/A,S&P500
AVGO,AVGO,N/A,N/A,S&P500
AVY,AVY,N/A,N/A,S&P500
AWK,AWK,N/A,N/A,S&P500
AXON,AXON,N/A,N/A,S&P500
AXP,AXP,N/A,N/A,S&P500
AZO,AZO,N/A,N/A,S&P500
BA,BA,N/A,N/A,S&P500
BAC,BAC,N/A,N/A,S&P500
BALL,BALL,N/A,N/A,S&P500
BAX,BAX,N/A,N/A,S&P500
BBWI,BBWI,N/A,N/A,S&P500
BBY,BBY,N/A,N/A,S&P500
BDX,BDX,N/A,N/A,S&P500
BEN,BEN,N/A,N/A,S&P500
BF-B,BF-B,N/A,N/A,S&P500
BG,BG,N/A,N/A,S&P500
BIIB,BIIB,N/A,N/A,S&P500
BIO,BIO,N/A,N/A,S&P500
BK,BK,N/A,N/A,S&P500
BKNG,BKNG,N/A,N/A,S&P500
BKR,BKR,N/A,N/A,S&P500
BLDR,BLDR,N/A,N/A,S&P500
BLK,BLK,N/A,N/A,S&P500
BMY,BMY,N/A,N/A,S&P500
BR,BR,N/A,N/A,S&P500
BRK-B,BRK-B,N/A,N/A,S&P500
BRO,BRO,N/A,N/A,S&P500
BSX,BSX,N/A,N/A,S&P500
BWA,BWA,N/A,N/A,S&P500
BX,BX,N/A,N/A,S&P500
BXP,BXP,N/A,N/A,S&P500
C,C,N/A,N/A,S&P500
CAG,CAG,N/A,N/A,S&P500
CAH,CAH,N/A,N/A,S&P500
CARR,CARR,N/A,N/A,S&P500
CAT,CAT,N/A,N/A,S&P500
CB,CB,N/A,N/A,S&P500
CBOE,CBOE,N/A,N/A,S&P500
CBRE,CBRE,N/A,N/A,S&P500
CCI,CCI,N/A,N/A,S&P500
CCL,CCL,N/A,N/A,S&P500
CDNS,CDNS,N/A,N/A,S&P500
CDW,CDW,N/A,N/A,S&P500
CE,CE,N/A,N/A,S&P500
CEG,CEG,N/A,N/A,S&P500
CF,CF,N/A,N/A,S&P500
CFG,CFG,N/A,N/A,S&P500
CHD,CHD,N/A,N/A,S&P500
CHRW,CHRW,N/A,N/A,S&P500
CHTR,CHTR,N/A,N/A,S&P500
CI,CI,N/A,N/A,S&P500
CINF,CINF,N/A,N/A,S&P500
CL,CL,N/A,N/A,S&P500
CLX,CLX,N/A,N/A,S&P500
CMCSA,CMCSA,N/A,N/A,S&P500
CME,CME,N/A,N/A,S&P500
CMG,CMG,N/A,N/A,S&P500
CMI,CMI,N/A,N/A,S&P500
CMS,CMS,N/A,N/A,S&P500
CNC,CNC,N/A,N/A,S&P500
CNP,CNP,N/A,N/A,S&P500
COF,COF,N/A,N/A,S&P500
COO,COO,N/A,N/A,S&P500
COP,COP,N/A,N/A,S&P500
COR,COR,N/A,N/A,S&P500
COST,COST,N/A,N/A,S&P500
CPAY,CPAY,N/A,N/A,S&P500
CPB,CPB,N/A,N/A,S&P500
CPRT,CPRT,N/A,N/A,S&P500
CPT,CPT,N/A,N/A,S&P500
CRL,CRL,N/A,N/A,S&P500
CRM,CRM,N/A,N/A,S&P500
CSCO,CSCO,N/A,N/A,S&P500
CSGP,CSGP,N/A,N/A,S&P500
CSX,CSX,N/A,N/A,S&P500
CTAS,CTAS,N/A,N/A,S&P500
CTLT,CTLT,N/A,N/A,S&P500
CTRA,CTRA,N/A,N/A,S&P500
CTSH,CTSH,N/A,N/A,S&P500
CTVA,CTVA,N/A,N/A,S&P500
CVS,CVS,N/A,N/A,S&P500
CVX,CVX,N/A,N/A,S&P500
CZR,CZR,N/A,N/A,S&P500
D,D,N/A,N/A,S&P500
DAL,DAL,N/A,N/A,S&P500
DAY,DAY,N/A,N/A,S&P500
DD,DD,N/A,N/A,S&P500
DE,DE,N/A,N/A,S&P500
DECK,DECK,N/A,N/A,S&P500
DFS,DFS,N/A,N/A,S&P500
DG,DG,N/A,N/A,S&P500
DGX,DGX,N/A,N/A,S&P500
DHI,DHI,N/A,N/A,S&P500
DHR,DHR,N/A,N/A,S&P500
DIS,DIS,N/A,N/A,S&P500
DLR,DLR,N/A,N/A,S&P500
DLTR,DLTR,N/A,N/A,S&P500
DOC,DOC,N/A,N/A,S&P500
DOV,DOV,N/A,N/A,S&P500
DOW,DOW,N/A,N/A,S&P500
DPZ,DPZ,N/A,N/A,S&P500
DRI,DRI,N/A,N/A,S&P500
